Date,Time,Open,High,Low,Close,Volume
20240101,00:00:00,1.27184,1.27347,1.27155,1.27274,3278480000
20240102,00:00:00,1.27275,1.27596,1.26105,1.26220,133476090000
20240103,00:00:00,1.26221,1.26761,1.26156,1.26727,149834310000
20240104,00:00:00,1.26727,1.27296,1.26565,1.26807,126701080000
20240105,00:00:00,1.26807,1.27707,1.26106,1.27173,158997240000
20240107,00:00:00,1.27018,1.27192,1.27018,1.27169,2938040000
20240108,00:00:00,1.27169,1.27668,1.26729,1.27411,95953140000
20240109,00:00:00,1.27411,1.27647,1.26890,1.27102,97271700000
20240110,00:00:00,1.27104,1.27448,1.26859,1.27442,92893970000
20240111,00:00:00,1.27441,1.27849,1.26898,1.27782,172938390000
20240112,00:00:00,1.27783,1.27854,1.27192,1.27473,136934150000
20240114,00:00:00,1.27373,1.27508,1.27347,1.27350,4764920000
20240115,00:00:00,1.27352,1.27649,1.27127,1.27151,106659190000
20240116,00:00:00,1.27152,1.27164,1.26190,1.26376,155860910000
20240117,00:00:00,1.26376,1.26958,1.25963,1.26770,152485120000
20240118,00:00:00,1.26769,1.27118,1.26478,1.27109,127305860000
20240119,00:00:00,1.27109,1.27143,1.26608,1.27020,107651490000
20240121,00:00:00,1.26789,1.27083,1.26789,1.26992,6317740000
20240122,00:00:00,1.26991,1.27325,1.26865,1.27057,100626090000
20240123,00:00:00,1.27055,1.27467,1.26488,1.26907,121462460000
20240124,00:00:00,1.26908,1.27745,1.26852,1.27173,120422610000
20240125,00:00:00,1.27175,1.27424,1.26813,1.27057,122845180000
20240126,00:00:00,1.27058,1.27582,1.26751,1.27025,100759690000
20240128,00:00:00,1.26959,1.27037,1.26897,1.26962,6781690000
20240129,00:00:00,1.26962,1.27184,1.26617,1.27118,89965280000
20240130,00:00:00,1.27119,1.27207,1.26399,1.26943,112902930000
20240131,00:00:00,1.26943,1.27505,1.26576,1.26794,170493080000
20240201,00:00:00,1.26792,1.27554,1.26249,1.27457,152467710000
20240202,00:00:00,1.27456,1.27721,1.26136,1.26284,124319430000
20240204,00:00:00,1.26201,1.26366,1.26106,1.26211,7600460000
20240205,00:00:00,1.26208,1.26292,1.25181,1.25333,107051270000
20240206,00:00:00,1.25334,1.26054,1.25330,1.26033,103843710000
20240207,00:00:00,1.26034,1.26416,1.25963,1.26261,103272730000
20240208,00:00:00,1.26258,1.26383,1.25714,1.26201,93567350000
20240209,00:00:00,1.26200,1.26429,1.25987,1.26247,79997130000
20240211,00:00:00,1.26206,1.26370,1.26206,1.26365,5374240000
20240212,00:00:00,1.26363,1.26544,1.26058,1.26262,76322760000
20240213,00:00:00,1.26262,1.26875,1.25727,1.25898,105806010000
20240214,00:00:00,1.25897,1.26109,1.25352,1.25671,111876250000
20240215,00:00:00,1.25670,1.26049,1.25410,1.25977,96421200000
20240216,00:00:00,1.25979,1.26241,1.25504,1.25978,98400470000
20240218,00:00:00,1.25987,1.26109,1.25974,1.26104,6835500000
20240219,00:00:00,1.26106,1.26295,1.25830,1.25874,67764470000
20240220,00:00:00,1.25873,1.26682,1.25790,1.26244,95230510000
20240221,00:00:00,1.26244,1.26416,1.26023,1.26377,94715260000
20240222,00:00:00,1.26379,1.27093,1.26112,1.26615,99601270000
20240223,00:00:00,1.26616,1.27010,1.26479,1.26683,70723620000
20240225,00:00:00,1.26727,1.26783,1.26685,1.26700,2438750000
20240226,00:00:00,1.26696,1.26993,1.26563,1.26834,56513680000
20240227,00:00:00,1.26838,1.26965,1.26601,1.26796,69025340000
20240228,00:00:00,1.26798,1.26838,1.26211,1.26611,73096570000
20240229,00:00:00,1.26611,1.26813,1.26119,1.26266,84039310000
20240301,00:00:00,1.26266,1.26636,1.25995,1.26530,80507830000
20240303,00:00:00,1.26465,1.26621,1.26465,1.26601,3716100000
20240304,00:00:00,1.26601,1.27062,1.26555,1.26890,58444510000
20240305,00:00:00,1.26894,1.27347,1.26711,1.27039,68359170000
20240306,00:00:00,1.27042,1.27613,1.26899,1.27357,69491320000
20240307,00:00:00,1.27357,1.28132,1.27228,1.28130,75077400000
20240308,00:00:00,1.28130,1.28934,1.28008,1.28548,84772970000
20240310,00:00:00,1.28544,1.28607,1.28476,1.28552,3278160000
20240311,00:00:00,1.28552,1.28618,1.27949,1.28177,67741000000
20240312,00:00:00,1.28177,1.28231,1.27459,1.27947,99274910000
20240313,00:00:00,1.27946,1.28111,1.27741,1.28008,74340500000
20240314,00:00:00,1.28009,1.28227,1.27303,1.27448,88855120000
20240315,00:00:00,1.27447,1.27585,1.27248,1.27313,72961600000
20240317,00:00:00,1.27270,1.27374,1.27264,1.27307,3597700000
20240318,00:00:00,1.27307,1.27465,1.27176,1.27260,61153410000
20240319,00:00:00,1.27261,1.27326,1.26674,1.27174,88987970000
20240320,00:00:00,1.27173,1.27981,1.26841,1.27977,122823070000
20240321,00:00:00,1.27975,1.28030,1.26503,1.26602,133648760000
20240322,00:00:00,1.26601,1.26751,1.25748,1.25984,88619610000
20240324,00:00:00,1.25948,1.26018,1.25901,1.25970,4007830000
20240325,00:00:00,1.25972,1.26520,1.25914,1.26358,61001460000
20240326,00:00:00,1.26359,1.26676,1.26217,1.26274,70008150000
20240327,00:00:00,1.26273,1.26408,1.26052,1.26165,76067930000
20240328,00:00:00,1.26167,1.26544,1.25855,1.26211,90537100000
20240329,00:00:00,1.26211,1.26448,1.26092,1.26158,44550880000
20240331,00:00:00,1.26077,1.26415,1.26077,1.26372,11114560000
20240401,00:00:00,1.26372,1.26416,1.25393,1.25458,67313500000
20240402,00:00:00,1.25457,1.25806,1.25391,1.25757,80918990000
20240403,00:00:00,1.25754,1.26559,1.25621,1.26509,94466760000
20240404,00:00:00,1.26509,1.26833,1.26349,1.26387,82564170000
20240405,00:00:00,1.26387,1.26483,1.25741,1.26361,104314700000
20240407,00:00:00,1.26244,1.26339,1.26206,1.26235,5061500000
20240408,00:00:00,1.26233,1.26636,1.26130,1.26572,90957220000
20240409,00:00:00,1.26570,1.27090,1.26485,1.26767,76691500000
20240410,00:00:00,1.26767,1.27078,1.25200,1.25362,123750000000
20240411,00:00:00,1.25363,1.25784,1.25105,1.25544,88046320000
20240412,00:00:00,1.25541,1.25585,1.24263,1.24482,84828700000
20240414,00:00:00,1.24410,1.24629,1.24362,1.24593,5882720000
20240415,00:00:00,1.24594,1.24983,1.24355,1.24458,101014730000
20240416,00:00:00,1.24459,1.24718,1.24055,1.24302,113751450000
20240417,00:00:00,1.24301,1.24815,1.24168,1.24525,98699500000
20240418,00:00:00,1.24529,1.24843,1.24318,1.24345,79133270000
20240419,00:00:00,1.24344,1.24682,1.23666,1.23695,123925120000
20240421,00:00:00,1.23694,1.23783,1.23655,1.23750,3362310000
20240422,00:00:00,1.23756,1.23919,1.22991,1.23494,66231380000
20240423,00:00:00,1.23494,1.24582,1.23315,1.24541,86095530000
20240424,00:00:00,1.24541,1.24697,1.24223,1.24589,67300460000
20240425,00:00:00,1.24588,1.25270,1.24540,1.25070,106176690000
20240426,00:00:00,1.25068,1.25409,1.24489,1.24908,86075900000
20240428,00:00:00,1.24632,1.25096,1.24623,1.25093,1826360000
20240429,00:00:00,1.25093,1.25693,1.25072,1.25593,93411900000
20240430,00:00:00,1.25592,1.25609,1.24876,1.24884,99746550000
20240501,00:00:00,1.24888,1.25499,1.24659,1.25359,111501060000
20240502,00:00:00,1.25359,1.25444,1.24717,1.25392,115334960000
20240503,00:00:00,1.25395,1.26340,1.25292,1.25446,120883930000
20240505,00:00:00,1.25324,1.25528,1.25324,1.25404,4314480000
20240506,00:00:00,1.25404,1.25941,1.25381,1.25590,86663840000
20240507,00:00:00,1.25590,1.25704,1.24983,1.25015,82336310000
20240508,00:00:00,1.25011,1.25045,1.24675,1.24928,74588420000
20240509,00:00:00,1.24929,1.25296,1.24457,1.25246,89960350000
20240510,00:00:00,1.25245,1.25410,1.25023,1.25239,67656180000
20240512,00:00:00,1.25155,1.25273,1.25124,1.25216,2324760000
20240513,00:00:00,1.25218,1.25683,1.25172,1.25598,65272250000
20240514,00:00:00,1.25597,1.25927,1.25092,1.25836,86095330000
20240515,00:00:00,1.25835,1.26940,1.25831,1.26884,92606330000
20240516,00:00:00,1.26883,1.27005,1.26432,1.26711,71247100000
20240517,00:00:00,1.26711,1.27114,1.26447,1.26999,53856560018
20240519,00:00:00,1.26953,1.27077,1.26878,1.27055,2010700001
20240520,00:00:00,1.27055,1.27252,1.26889,1.27095,57867300022
20240521,00:00:00,1.27096,1.27266,1.26863,1.27097,45820630006
20240522,00:00:00,1.27098,1.27610,1.26998,1.27202,79158940040
20240523,00:00:00,1.27201,1.27463,1.26852,1.26929,87184300041
20240524,00:00:00,1.26927,1.27507,1.26753,1.27358,62628520022
20240526,00:00:00,1.27299,1.27429,1.27299,1.27338,2885240004
20240527,00:00:00,1.27336,1.27774,1.27336,1.27718,49192940045
20240528,00:00:00,1.27718,1.28005,1.27537,1.27576,69840960027
20240529,00:00:00,1.27575,1.27715,1.26957,1.26972,74738080020
20240530,00:00:00,1.26973,1.27469,1.26806,1.27285,70396060024
20240531,00:00:00,1.27286,1.27660,1.26999,1.27404,79331740027
20240602,00:00:00,1.27336,1.27453,1.27336,1.27439,2506760002
20240603,00:00:00,1.27439,1.28119,1.26941,1.28095,80611560042
